# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.000000 -0.00012013 -0.56703891 -0.00016327 -2.10925115 0.00001584 3.03717980 0.74100000 0.04000000 0.04000000
0.005000 -0.00024006 -0.56507594 -0.00032628 -2.10849861 0.00003167 3.03736054 0.74100000 0.04000000 0.04000000
0.010000 -0.00035979 -0.56311109 -0.00048903 -2.10774237 0.00004747 3.03754222 0.74100000 0.04000000 0.04000000
0.015000 -0.00047933 -0.56114438 -0.00065152 -2.10698244 0.00006325 3.03772484 0.74100000 0.04000000 0.04000000
0.020000 -0.00059866 -0.55917581 -0.00081375 -2.10621880 0.00007901 3.03790839 0.74100000 0.04000000 0.04000000
0.025000 -0.00071780 -0.55720539 -0.00097571 -2.10545148 0.00009474 3.03809287 0.74100000 0.04000000 0.04000000
0.030000 -0.00083674 -0.55523312 -0.00113742 -2.10468045 0.00011046 3.03827827 0.74100000 0.04000000 0.04000000
0.035000 -0.00095548 -0.55325901 -0.00129886 -2.10390573 0.00012615 3.03846461 0.74100000 0.04000000 0.04000000
0.040000 -0.00107403 -0.55128307 -0.00146005 -2.10312730 0.00014182 3.03865187 0.74100000 0.04000000 0.04000000
0.045000 -0.00119238 -0.54930530 -0.00162098 -2.10234519 0.00015747 3.03884005 0.74100000 0.04000000 0.04000000
0.050000 -0.00131053 -0.54732571 -0.00178164 -2.10155937 0.00017310 3.03902915 0.74100000 0.04000000 0.04000000
0.055000 -0.00142849 -0.54534431 -0.00194205 -2.10076986 0.00018870 3.03921916 0.74100000 0.04000000 0.04000000
0.060000 -0.00154626 -0.54336110 -0.00210219 -2.09997665 0.00020429 3.03941009 0.74100000 0.04000000 0.04000000
0.065000 -0.00166383 -0.54137609 -0.00226208 -2.09917974 0.00021985 3.03960193 0.74100000 0.04000000 0.04000000
0.070000 -0.00178121 -0.53938929 -0.00242171 -2.09837913 0.00023539 3.03979468 0.74100000 0.04000000 0.04000000
0.075000 -0.00189839 -0.53740070 -0.00258107 -2.09757483 0.00025092 3.03998834 0.74100000 0.04000000 0.04000000
0.080000 -0.00201538 -0.53541034 -0.00274018 -2.09676683 0.00026641 3.04018290 0.74100000 0.04000000 0.04000000
0.085000 -0.00213218 -0.53341820 -0.00289903 -2.09595513 0.00028189 3.04037837 0.74100000 0.04000000 0.04000000
0.090000 -0.00224879 -0.53142429 -0.00305762 -2.09513973 0.00029735 3.04057473 0.74100000 0.04000000 0.04000000
0.095000 -0.00236521 -0.52942862 -0.00321595 -2.09432063 0.00031278 3.04077199 0.74100000 0.04000000 0.04000000
