# time joint1 joint2 joint3 joint4 joint5 joint6 joint7 drive_joint left_finger_joint left_inner_knuckle_joint right_outer_knuckle_joint right_finger_joint right_inner_knuckle_joint
0.000000 -0.00019719 -0.00359257 -0.00019719 -0.00096820 0.00007275 0.00015047 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.005000 -0.00039505 -0.00717819 -0.00039395 -0.00192988 0.00014556 0.00029890 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.010000 -0.00059357 -0.01075679 -0.00059026 -0.00288502 0.00021843 0.00044530 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.015000 -0.00079274 -0.01432835 -0.00078612 -0.00383361 0.00029134 0.00058965 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.020000 -0.00099256 -0.01789281 -0.00098150 -0.00477566 0.00036430 0.00073195 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.025000 -0.00119302 -0.02145013 -0.00117641 -0.00571114 0.00043730 0.00087219 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.030000 -0.00139411 -0.02500025 -0.00137083 -0.00664007 0.00051033 0.00101037 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.035000 -0.00159583 -0.02854315 -0.00156474 -0.00756242 0.00058339 0.00114648 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.040000 -0.00179818 -0.03207877 -0.00175814 -0.00847819 0.00065648 0.00128051 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.045000 -0.00200113 -0.03560707 -0.00195102 -0.00938739 0.00072959 0.00141245 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.050000 -0.00220469 -0.03912801 -0.00214336 -0.01028999 0.00080272 0.00154231 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.055000 -0.00240884 -0.04264155 -0.00233516 -0.01118601 0.00087585 0.00167007 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.060000 -0.00261359 -0.04614764 -0.00252641 -0.01207543 0.00094900 0.00179573 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.065000 -0.00281891 -0.04964625 -0.00271709 -0.01295824 0.00102214 0.00191928 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
